pillar_id,principle_id,measure_id,alaysis_id,measure_sql_code,measure_sql_description
DG,DG-01,DG-01-01,DG-01-01,,
DG,DG-01,DG-01-02,DG-01-02,,
DG,DG-01,DG-01-03,DG-01-03,,
DG,DG-01,DG-01-04,DG-01-04,,
DG,DG-01,DG-01-05,DG-01-05,,
DG,DG-01,DG-01-06,DG-01-06,,
DG,DG-02,DG-02-01,DG-02-01,,
DG,DG-02,DG-02-02,DG-02-02,,
DG,DG-02,DG-02-03,DG-02-03,,
DG,DG-03,DG-03-01,DG-03-01,,
DG,DG-03,DG-03-02,DG-03-02,,
DG,DG-03,DG-03-03,DG-03-03,,
IU,IU-01,IU-01-01,IU-01-01,,
IU,IU-01,IU-01-02,IU-01-02,,
IU,IU-01,IU-01-03,IU-01-03,,
IU,IU-01,IU-01-04,IU-01-04,,
IU,IU-02,IU-02-01,IU-02-01,,
IU,IU-02,IU-02-02,IU-02-02,,
IU,IU-02,IU-02-03,IU-02-03,,
IU,IU-03,IU-03-01,IU-03-01,,
IU,IU-03,IU-03-02,IU-03-02,,
IU,IU-03,IU-03-03,IU-03-03,,
IU,IU-03,IU-03-04,IU-03-04,,
IU,IU-04,IU-04-01,IU-04-01,,
IU,IU-04,IU-04-02,IU-04-02,,
IU,IU-04,IU-04-03,IU-04-03,,
OE,OE-01,OE-01-01,OE-01-01,,
OE,OE-01,OE-01-02,OE-01-02,,
OE,OE-01,OE-01-03,OE-01-03,,
OE,OE-01,OE-01-04,OE-01-04,,
OE,OE-01,OE-01-05,OE-01-05,,
OE,OE-01,OE-01-06,OE-01-06,,
OE,OE-01,OE-01-07,OE-01-07,,
OE,OE-01,OE-01-08,OE-01-08,,
OE,OE-01,OE-01-09,OE-01-09,,
OE,OE-02,OE-02-01,OE-02-01,,
OE,OE-02,OE-02-02,OE-02-02,,
OE,OE-02,OE-02-03,OE-02-03,,
OE,OE-02,OE-02-04,OE-02-04,,
OE,OE-02,OE-02-05,OE-02-05,,
OE,OE-02,OE-02-06,OE-02-06,,
OE,OE-02,OE-02-07,OE-02-07,,
OE,OE-02,OE-02-08,OE-02-08,,
OE,OE-02,OE-02-09,OE-02-09,,
OE,OE-02,OE-02-10,OE-02-10,,
OE,OE-02,OE-02-11,OE-02-11,,
OE,OE-03,OE-03-01,OE-03-01,,
OE,OE-03,OE-03-02,OE-03-02,,
OE,OE-03,OE-03-03,OE-03-03,,
OE,OE-03,OE-03-04,OE-03-04,,
OE,OE-04,OE-04-01,OE-04-01,,
OE,OE-04,OE-04-02,OE-04-02,,
SC,SCP-0,SCP-01-01,SCP-01-01,,
SC,SCP-0,SCP-01-02,SCP-01-02,,
SC,SCP-0,SCP-01-03,SCP-01-03,,
SC,SCP-0,SCP-01-04,SCP-01-04,,
SC,SCP-0,SCP-01-05,SCP-01-05,,
SC,SCP-0,SCP-01-06,SCP-01-06,,
SC,SCP-0,SCP-01-07,SCP-01-07,,
SC,SCP-0,SCP-01-08,SCP-01-08,,
SC,SCP-0,SCP-01-09,SCP-01-09,,
SC,SCP-0,SCP-01-10,SCP-01-10,,
SC,SCP-0,SCP-01-11,SCP-01-11,,
SC,SCP-0,SCP-01-12,SCP-01-12,,
SC,SCP-0,SCP-01-13,SCP-01-13,,
SC,SCP-0,SCP-02-01,SCP-02-01,,
SC,SCP-0,SCP-02-02,SCP-02-02,,
SC,SCP-0,SCP-02-03,SCP-02-03,,
SC,SCP-0,SCP-02-04,SCP-02-04,,
SC,SCP-0,SCP-02-05,SCP-02-05,,
SC,SCP-0,SCP-02-06,SCP-02-06,,
SC,SCP-0,SCP-02-07,SCP-02-07,,
SC,SCP-0,SCP-03-01,SCP-03-01,,
SC,SCP-0,SCP-03-02,SCP-03-02,,
SC,SCP-0,SCP-03-03,SCP-03-03,,
SC,SCP-0,SCP-03-04,SCP-03-04,,
SC,SCP-0,SCP-03-05,SCP-03-05,,
SC,SCP-0,SCP-03-06,SCP-03-06,,
SC,SCP-0,SCP-04-01,SCP-04-01,,
SC,SCP-0,SCP-05-01,SCP-05-01,,
SC,SCP-0,SCP-06-01,SCP-06-01,,
SC,SCP-0,SCP-06-02,SCP-06-02,,
SC,SCP-0,SCP-06-03,SCP-06-03,,
SC,SCP-0,SCP-06-04,SCP-06-04,,
SC,SCP-0,SCP-06-05,SCP-06-05,,
SC,SCP-0,SCP-07-01,SCP-07-01,,
SC,SCP-0,SCP-07-02,SCP-07-02,,
SC,SCP-0,SCP-07-03,SCP-07-03,,
SC,SCP-0,SCP-07-04,SCP-07-04,,
SC,SCP-0,SCP-07-05,SCP-07-05,,
R,R-01,R-01-01,R-01-01,,
R,R-01,R-01-02,R-01-02,,
R,R-01,R-01-03,R-01-03,,
R,R-01,R-01-04,R-01-04,,
R,R-01,R-01-05,R-01-05,,
R,R-01,R-01-06,R-01-06,,
R,R-02,R-02-01,R-02-01,,
R,R-02,R-02-02,R-02-02,,
R,R-02,R-02-03,R-02-03,,
R,R-02,R-02-04,R-02-04,,
R,R-02,R-02-05,R-02-05,,
R,R-03,R-03-01,R-03-01,,
R,R-03,R-03-02,R-03-02,,
R,R-04,R-04-01,R-04-01,,
R,R-04,R-04-02,R-04-02,,
R,R-04,R-04-03,R-04-03,,
R,R-04,R-04-04,R-04-04,,
R,R-05,R-05-01,R-05-01,,
R,R-05,R-05-02,R-05-02,,
PE,PE-01,PE-01-01,PE-01-01,,
PE,PE-01,PE-01-02,PE-01-02,,
PE,PE-02,PE-02-01,PE-02-01,,
PE,PE-02,PE-02-02,PE-02-02,,
PE,PE-02,PE-02-03,PE-02-03,,
PE,PE-02,PE-02-04,PE-02-04,,
PE,PE-02,PE-02-05,PE-02-05,,
PE,PE-02,PE-02-06,PE-02-06,,
PE,PE-02,PE-02-07,PE-02-07,,
PE,PE-02,PE-02-08,PE-02-08,,
